playlist_item_id,playlist_id,playlist_position,video_id,playlist_title,item_published_at,video_in_postgres,postgres_title,publish_date,duration_seconds,transcript_in_bronze,transcript_in_postgres,latest_checkpoint_status,target_status,fetch_candidate,requires_manual_review
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5GNDg1Njc1QzZERjlFRjE5,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,0,nykOeWgQcHM,1. What is Computation?,2019-07-31T15:15:20Z,True,1. What is Computation?,2019-07-31,2586,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5BRjJDODk5REM0NjkzMUIy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,1,Y6J8I056Ffw,Shell vs. Editor,2017-02-15T14:26:28Z,True,Shell vs. Editor,2017-02-15,80,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS45ODRDNTg0QjA4NkFBNkQy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,2,F-_PKUUM-qY,Python vs. Math,2017-02-15T14:25:51Z,True,Python vs. Math,2017-02-15,97,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41QUZGQTY5OTE4QTREQUU4,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,3,EFCdr_43qmU,Bindings,2017-02-15T14:26:26Z,True,Bindings,2017-02-15,100,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS45NDk1REZENzhEMzU5MDQz,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,4,0jljZRnHwOI,2. Branching and Iteration,2017-02-15T14:25:50Z,True,2. Branching and Iteration,2017-02-15,2611,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4xMkVGQjNCMUM1N0RFNEUx,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,5,w4uxYDPsjbw,Strings,2017-02-15T14:25:49Z,True,Strings,2017-02-15,53,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41Mzk2QTAxMTkzNDk4MDhF,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,6,lniF6ys2CIk,Comparisons,2017-02-15T14:25:51Z,True,Comparisons,2017-02-15,83,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS40NzZCMERDMjVEN0RFRThB,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,7,jjbWNcIjmzc,Branching,2017-02-15T14:25:50Z,True,Branching,2017-02-15,66,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41MzJCQjBCNDIyRkJDN0VD,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,8,P-0w8xWcnDQ,While Loops,2017-02-15T14:25:49Z,True,While Loops,2017-02-15,111,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4yMDhBMkNBNjRDMjQxQTg1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,9,mrvBnZIEsZY,For Loops,2017-02-15T14:25:53Z,True,For Loops,2017-02-15,115,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5EMEEwRUY5M0RDRTU3NDJC,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,10,SE4P7IVCunE,"3. String Manipulation, Guess and Check, Approximations, Bisection",2017-02-15T14:25:51Z,True,"3. String Manipulation, Guess and Check, Approximations, Bisection",2017-02-15,2702,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS42MTI4Njc2QjM1RjU1MjlG,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,11,-jjUoTiaSHw,String Manipulations,2017-02-15T14:26:27Z,True,String Manipulations,2017-02-15,185,True,True,success,already_available,False,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS43MTI1NDIwOTMwQjIxMzNG,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,12,4WtaFLayz_w,For Loops With Strings,2017-02-15T14:25:58Z,True,For Loops With Strings,2017-02-15,259,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5DQUNERDQ2NkIzRUQxNTY1,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,13,MjbuarJ7SE0,"4. Decomposition, Abstraction, and Functions",2017-02-15T14:25:50Z,True,"4. Decomposition, Abstraction, and Functions",2017-02-15,2469,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS40QTA3NTU2RkM1QzlCMzYx,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,14,4gPwo38MNss,Function Calls,2017-02-15T14:26:27Z,True,Function Calls,2017-02-15,155,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5DNzE1RjZEMUZCMjA0RDBB,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,15,QaOHeMnpnmU,Functions as Arguments,2017-02-15T14:26:00Z,True,Functions as Arguments,2017-02-15,213,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5DMkU4NTY1QUFGQTYwMDE3,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,16,RvRKT-jXvko,"5. Tuples, Lists, Aliasing, Mutability, and Cloning",2017-02-15T14:25:55Z,True,"5. Tuples, Lists, Aliasing, Mutability, and Cloning",2017-02-15,2488,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4wOTA3OTZBNzVEMTUzOTMy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,17,ncpb4wIsQu8,Tuples,2017-02-15T14:25:49Z,True,Tuples,2017-02-15,209,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5DQ0MyQ0Y4Mzg0M0VGOEYw,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,18,zYVWQpCitKQ,Simple Lists,2017-02-15T14:25:57Z,True,Simple Lists,2017-02-15,169,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5GM0Q3M0MzMzY5NTJFNTdE,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,19,SrkqbLOQcEo,List Operations,2017-02-15T14:25:53Z,True,List Operations,2017-02-15,186,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS45NzUwQkI1M0UxNThBMkU0,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,20,FKp-6sojt9A,List Aliasing/Mutation,2017-02-15T14:26:01Z,True,List Aliasing/Mutation,2017-02-15,115,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS43NDhFRTgwOTRERTU4Rjg3,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,21,WPSeyjX1-4s,6. Recursion and Dictionaries,2017-02-15T14:26:26Z,True,6. Recursion and Dictionaries,2017-02-15,2902,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4xOTEzQzhBQzU3MDNDNjcz,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,22,9H6muyZjms0,"7. Testing, Debugging, Exceptions, and Assertions",2017-02-15T14:25:48Z,True,"7. Testing, Debugging, Exceptions, and Assertions",2017-02-15,2493,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4yQUE2Q0JEMTk4NTM3RTZC,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,23,5McjE8e5gIg,Black Box and Glass Box Testing,2017-02-15T14:25:56Z,True,Black Box and Glass Box Testing,2017-02-15,124,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5CMEQ2Mjk5NTc3NDZFRUNB,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,24,-wz4iU2V-Yo,Errors,2017-02-15T14:26:27Z,True,Errors,2017-02-15,76,True,True,success,already_available,False,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS45RTgxNDRBMzUwRjQ0MDhC,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,25,0Whyfs88TYE,Exceptions,2017-02-15T14:25:52Z,True,Exceptions,2017-02-15,161,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4zMDg5MkQ5MEVDMEM1NTg2,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,26,-DP1i2ZU9gk,8. Object Oriented Programming,2017-02-15T14:25:51Z,True,8. Object Oriented Programming,2017-02-15,2504,True,True,success,already_available,False,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5GNjNDRDREMDQxOThCMDQ2,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,27,vqn_yk5aFcI,Class Definition,2017-02-15T14:25:50Z,True,Class Definition,2017-02-15,50,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS44Mjc5REFBRUE2MTdFRDU0,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,28,2__KumJsGXc,Class Instance,2017-02-15T14:26:26Z,True,Class Instance,2017-02-15,141,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS5ENDU4Q0M4RDExNzM1Mjcy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,29,goalLDamePE,Methods,2017-02-15T14:25:52Z,True,Methods,2017-02-15,86,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4yODlGNEE0NkRGMEEzMEQy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,30,_ax4eNMI9Dw,Method Call,2017-02-15T14:25:48Z,True,Method Call,2017-02-15,107,True,True,success,already_available,False,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4wMTcyMDhGQUE4NTIzM0Y5,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,31,qq7I2MQNrtU,Special Methods,2017-02-15T14:25:49Z,True,Special Methods,2017-02-15,132,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4zRjM0MkVCRTg0MkYyQTM0,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,32,FlGjISF3l78,9. Python Classes and Inheritance,2017-02-15T14:26:02Z,True,9. Python Classes and Inheritance,2017-02-15,2848,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41NkI0NEY2RDEwNTU3Q0M2,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,33,C_pgH5QhIZ8,Getters and Setters,2017-02-15T14:25:48Z,True,Getters and Setters,2017-02-15,105,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41MjE1MkI0OTQ2QzJGNzNG,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,34,8s0d87sjy1A,Subclass,2017-02-15T14:25:49Z,True,Subclass,2017-02-15,166,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS41QTY1Q0UxMTVCODczNThE,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,35,o9nW0uBqvEo,"10. Understanding Program Efficiency, Part 1",2017-02-15T14:25:52Z,True,"10. Understanding Program Efficiency, Part 1",2017-02-15,3086,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4zRDBDOEZDOUM0MDY5NEEz,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,36,7lQXYl_L28w,"11. Understanding Program Efficiency, Part 2",2017-02-15T14:26:27Z,True,"11. Understanding Program Efficiency, Part 2",2017-02-15,2953,False,False,,not_attempted,True,False
UExVbDR1M2NOR1A2M1diZEZ4TDhnaXY0eWhnZE1HYVpOQS4yMUQyQTQzMjRDNzMyQTMy,PLUl4u3cNGP63WbdFxL8giv4yhgdMGaZNA,37,6LOwPhPDwVc,12. Searching and Sorting,2017-02-15T14:25:52Z,True,12. Searching and Sorting,2017-02-15,2912,False,False,,not_attempted,True,False
